,itemID_1,itemID_2,isDuplicate,generationMethod
1521969,1814259,2506787,0,1
1114680,1260189,4344066,1,1
1943280,2478614,5710710,0,3
1803975,2246210,3068933,1,1
399988,419103,2755109,1,1
2140090,2834972,4835688,0,1
1992813,2565745,3428950,0,1
1721720,2115922,4355445,1,1
2457687,3517618,5901120,0,3
1669403,2035479,2124640,0,1
428999,449732,4867108,0,1
1766706,2186970,4918252,0,3
2557233,3769565,5123642,0,3
2262872,3080220,4695257,0,1
583691,622544,1558811,1,1
97013,99749,1477907,0,1
2001070,2580494,4200138,0,1
1557917,1867266,3185285,0,3
2278965,3113940,5044086,0,1
1522107,1814446,3779088,0,1
2874416,4896128,5861071,0,1
2441215,3477561,3885827,1,1
1897389,2400656,4013013,1,1
2701545,4197172,5618556,0,1
2632170,3980333,4009397,0,3
2539424,3723026,5343868,1,1
1629873,1975095,3791618,0,1
1387582,1622302,2505014,1,1
2561419,3781244,5476565,0,1
1315731,1524419,4699423,1,1
68020,69883,3159492,0,1
1518776,1809857,3844875,1,1
2296603,3151236,4301324,1,1
1732516,2132750,6111179,1,1
2736488,4316679,5823011,1,1
2311855,3183081,3928862,0,3
350026,365071,2232270,0,3
1249124,1435350,5949519,1,1
363465,379527,5386783,1,1
2140100,2834989,5241535,1,3
2574872,3817260,5809336,0,1
1198142,1368167,1379343,0,3
1664830,2028116,2353678,1,1
2706413,4213093,5418193,1,1
560408,596541,6012636,0,1
2826869,4672080,4711178,0,3
2475823,3562557,4492300,0,1
2182845,2916948,5111097,0,3
2780906,4480955,5896395,0,1
2696440,4180766,4963362,0,1
540078,574375,3490550,0,1
2707065,4215139,5227273,1,1
2283796,3124199,3488334,0,1
1452389,1713128,4500255,0,1
1055209,1184438,3175303,0,3
291642,302334,1224031,1,1
2901060,5043198,5574197,0,3
275925,285344,3155565,0,3
1112414,1257173,2462602,1,1
2414807,3415151,4319367,1,1
599601,640461,4308585,0,3
997103,1111106,4067557,0,3
2585493,3846620,5113945,1,1
295377,306420,2011384,0,1
2108747,2775826,5271178,1,1
2082022,2726058,5852916,1,1
53489,54957,1625960,0,1
1811326,2258090,3158372,1,1
2667808,4088713,5893792,1,1
53945,55384,1085582,0,3
320276,333079,360574,1,2
2834974,4707131,5181378,1,1
2679665,4125845,4357621,0,3
2087674,2736422,2963453,0,3
643479,690025,4462651,0,1
2352121,3272457,3506143,0,3
858321,943091,4152046,0,1
1516527,1806374,4758611,0,1
1556672,1865367,2259840,0,1
1936444,2466802,5534284,0,3
1066345,1198178,2617045,0,3
1984535,2550823,3339850,1,1
1282721,1479657,4476988,0,1
2884445,4949524,5049116,0,3
2190491,2932146,3324298,0,1
1171826,1334079,5599641,0,1
1020020,1139487,3979852,0,1
2386830,3352238,5105604,1,1
861191,946450,2061142,0,1
1242438,1426050,5049648,0,1
892492,984381,2373558,1,1
2603452,3896655,4465370,0,3
2063896,2693008,3483745,0,3
1067584,1199755,4929653,1,1
53665,55135,3893102,0,3
382510,399989,4091889,1,1
2444807,3486230,3825425,0,1
2724399,4274100,5486853,0,1
116356,119324,3876096,0,1
68526,70562,4155110,0,1
2024863,2623015,3386945,0,3
513412,544087,889918,1,1
648409,695592,3851391,1,3
600011,640863,2544570,0,3
212003,217798,4778899,0,1
350382,365491,4091934,0,1
1204133,1376072,1689376,0,1
1237491,1420043,3997940,1,1
163767,168105,2186228,1,1
483880,510589,2687300,0,1
2051944,2671224,4537093,0,1
25550,26735,2370312,0,3
2222003,2995955,4803475,1,2
2087937,2736900,2957170,0,3
277701,287202,1334152,0,1
710026,767363,893140,0,3
2212078,2975840,5592651,1,1
1310833,1517968,3960280,0,1
1483573,1758972,4323491,1,2
490333,518027,5287393,0,3
2817478,4630781,5119068,0,1
907610,1002105,3909640,0,1
1841353,2306443,4255696,0,3
1233349,1414683,2113869,0,1
1686452,2061688,4720996,0,3
